supplier,supplier_sku,aliases,description,pack_size,base_unit,unit_cost_gbp,lines_seen,last_seen,min_confidence,reason
Brakes,104628,"C 104628, C104628",British Cheese Board,1x840g,kg,17.53,33,2026-09-11,0.90,seen with 2 different pack sizes (840g; 860g)
Brakes,10478,"C 10478, C10478",Limes,6 Pack,each,1.48,145,2026-09-11,0.70,seen with 3 different pack sizes (1kg; 3kg; 6)
Brakes,10515,A10515,Sysco Classic 2 Ply Blue Centrefeed Embossed Kitchen Wipes,1 x 6 (300 sheets),,10.19,3,2026-04-20,0.90,seen with 2 different pack sizes (6; 6300sheets)
Brakes,105856,,Brakes Crisp Puffed Rice,8x800g,kg,22.18,1,2026-01-14,0.90,seen only once in the captured window
Brakes,107570,,Red Exel Microfibre Cloth,1x10,,9.86,1,2025-11-12,0.95,seen only once in the captured window
Brakes,110782,"F 110782, F110782",Sysco Classic GF Carrot Cake,1x14,each,22,61,2026-09-11,0.80,seen with 3 different pack sizes (14; 14ptn; 6)
Brakes,110817,"C 110817, C110817",Sysco Classic Smoked Cheddar Cheese Slices,1 x 1kg (50 slices),kg,14.76,28,2026-09-07,0.80,seen with 2 different pack sizes (1kg; 1kg50slices)
Brakes,11196,"C 11196, C11196",Sysco Classic Tomato Salsa,1kg,kg,7.31,77,2026-09-11,0.80,seen with 3 different pack sizes (1kg; 1kgtub; 24x330ml)
Brakes,11213,"C 11213, C11213",Sysco Classic Houmous Dip,1x1kg,kg,3.96,91,2026-09-11,0.80,seen with 2 different pack sizes (1kg; 1kgtub)
Brakes,113849,,Prosecco Frizz ExDry DOC,6x75cl SPKWINE,L,49.09,1,2025-12-12,0.90,seen only once in the captured window
Brakes,113882,"C 113882, C113882",Herb Large Mint Bunched BB,1x100g,kg,1.3,118,2026-09-11,0.70,seen with 2 different pack sizes (100g; 1kg)
Brakes,114218,"C 114218, C114218",Lemons,5 Pack,each,1.63,79,2026-09-11,0.89,seen with 2 different pack sizes (5; 6)
Brakes,114956,,Freeby Plain White Flour GF,5x1kg,kg,10.56,1,2025-10-08,0.95,seen only once in the captured window
Brakes,115483,"A 115483, A115483",Birra Moretti Lager Beer,24 x 330ml,L,30.89,9,2026-08-10,0.90,seen with 2 different pack sizes (24; 24x330ml)
Brakes,117480,"C 117480, C117480",Guacamole,1x1kg,kg,9.65,81,2026-09-11,0.80,seen with 2 different pack sizes (1kg; 2kg)
Brakes,119330,"A 119330, A119330",Shield Blue Rubber Gloves Large,1 x 12,L,6,13,2026-09-09,0.90,seen with 2 different pack sizes (12; gr03l1x12)
Brakes,119849,,Bar Mix Olives (Pitted),1x1kg,kg,2.51,1,2026-01-16,0.90,seen only once in the captured window
Brakes,120016,A 120016,Drink Me Chai Artisan Dairy Free Chai Latte,1 x 1,kg,14.97,5,2026-04-13,0.90,seen with 2 different pack sizes (1kg1x1; each)
Brakes,124230,"A 124230, A124230",Paclan 100 x 200L Black Compactor Sacks. 610x1168x1067mm. Rated 15KG CHSA. Made using 100% Recycled Material (excluding processing aids).,1 x 100 Sacks,L,16.51,12,2026-08-10,0.90,seen with 2 different pack sizes (100; 100sacks)
Brakes,125459,F 125459,Golden Valley Gluten Free Breaded Chicken Goujons,2 x 1kg (50 approx),kg,19.45,4,2026-04-29,0.90,seen with 2 different pack sizes (2x1kg; 2x1kg50approx)
Brakes,129433,"F 129433, F129433",Wright 6in Unbkd Brit Pork Saus Rol,1x40,kg,50.47,28,2026-09-11,0.90,seen with 2 different pack sizes (40; 40x190g)
Brakes,130801,F 130801,Brakes Vegan Caramelised Biscuit Cake,1 x 14ptn,,18.25,2,2026-01-13,0.90,seen with 2 different pack sizes (14; 14ptn)
Brakes,130803,"F 130803, F130803",Sysco Cl Vegan Choc Fudge Cake,1x16,each,19.3,48,2026-09-11,0.80,seen with 3 different pack sizes (10; 16; 16ptns)
Brakes,130863,,Vitelli Prosecco Brut NV,12x75cl SPKWINE,L,99.09,1,2025-12-08,0.90,seen only once in the captured window
Brakes,130921,A 130921,Bacardi Carta Blanca Rum 37.5% (Cuba),1 x 70cl,L,19.69,2,2026-08-10,0.90,seen with 2 different pack sizes (70cl; 70clsprbox)
Brakes,131395,"A 131395, A131395",Aperol Aperitivo 70cl 11% (Italy),1 x 70cl,L,14.19,19,2026-09-01,0.90,seen with 2 different pack sizes (70cl; 70clsprbox)
Brakes,133684,,Sysco Classic 2 Ply Blue Centref,1x6,,4.7,1,2026-01-17,0.90,seen only once in the captured window
Brakes,133752,,Super Rinse Aid,2x5ltr,L,12.92,1,2025-10-06,0.90,seen only once in the captured window
Brakes,133833,,3 Ply IIR Face Covering (Mask) DK01,1x50,,3.77,1,2026-03-05,0.95,seen only once in the captured window
Brakes,134255,,Sysco Ess Blackcurrant Squash NAS,5ltr,L,5.31,1,2025-11-14,0.95,seen only once in the captured window
Brakes,134555,A134555,Bacardi Spiced Rum 35% (Puerto Rico)*,1 x 70cl,L,18.19,2,2026-09-02,0.90,seen with 2 different pack sizes (70cl; 70clsprbox)
Brakes,135093,"A 135093, A135093",DaVinci Sugar Free Caramel Syrup,1 x 1ltr,L,6.36,15,2026-07-13,0.90,seen with 2 different pack sizes (1l; ixil)
Brakes,135126,"F 135126, F135126",La Boulangerie Ready to Bake Pain au Chocolat,48 x 75g,kg,25.13,18,2026-09-07,0.80,seen with 2 different pack sizes (48; 48x75g)
Brakes,135127,"F 135127, F135127",La Boulangerie Ready to Bake Straight All Butter Croissant,50 x 60g,kg,19.87,15,2026-09-07,0.80,seen with 2 different pack sizes (50; 50x60g)
Brakes,135192,"A 135192, A135192",Whisper Green Toilet Roll 2Ply,10x4,L,16.32,16,2026-09-11,0.90,seen with 3 different pack sizes (10x4; 2ply10x4; 2x5l)
Brakes,135573,,Brake Essentials Washing Up Liquid,2x5l,L,8.24,1,2026-01-16,0.90,seen only once in the captured window
Brakes,135584,"A 135584, A135584",Sysco Classic 2 Ply Blue Centrefeed,1x6,kg,9.03,136,2026-09-11,0.80,seen with 3 different pack sizes (24x200g; 6; 8)
Brakes,136373,"A 136373, A136373",Brakes Essentials Washing Up Liquid,2 x 5ltr,L,9.16,89,2026-09-08,0.80,seen with 3 different pack sizes (10each; 2x51; 2x5l)
Brakes,136378,"A 136378, A136378",Brakes Essentials Floor Cleaner,8 x 1ltr,L,13.99,19,2026-09-08,0.90,seen with 2 different pack sizes (10x4; 8x1l)
Brakes,136380,"A 136380, A136380",Brakes Essentials Antibacterial Hand Wash,2 x 5ltr,L,10.28,7,2026-04-29,0.90,seen with 2 different pack sizes (2x51; 2x5l)
Brakes,136388,"A 136388, A136388",Brakes Essentials Non-Biological Laundry Detergent,2 x 5ltr,L,20.15,36,2026-07-21,0.90,seen with 2 different pack sizes (2x51; 2x5l)
Brakes,136707,,Brake Essent Glass & S/S Cleaner,6x750ml,L,9.23,1,2026-03-16,0.95,seen only once in the captured window
Brakes,146271,,Yorkshire Tea Decaf Tag & Env,1x200,,14.48,1,2025-12-10,0.90,seen only once in the captured window
Brakes,148639,A148639,MONIN Premium Caramel Syrup,1tr 1 x 1 ltr,L,10.7,5,2026-06-11,0.90,seen with 2 different pack sizes (1l; 1tr1x1l)
Brakes,148641,"A 148641, A148641",MONIN Premium Vanilla Syrup 1ltr,1 x 1 ltr,L,9.09,13,2026-07-21,0.90,seen with 2 different pack sizes (1l; 1l1x1l)
Brakes,149358,,Sysco Simply Veg Tagine Tart,18x220g,kg,46.99,1,2025-12-08,0.90,seen only once in the captured window
Brakes,149991,"F 149991, F149991",LaBo Sticky Caramel Cake,1x14,,26.97,55,2026-09-11,0.80,seen with 2 different pack sizes (14; 14ptn)
Brakes,150213,"F 150213, F150213",Cheese Pickers Halloumi Fries,1x1kg,kg,23.14,49,2026-09-11,0.80,seen with 2 different pack sizes (180; 1kg)
Brakes,150466,,Large Lemon BB,1x5,,2.51,1,2026-08-13,0.95,seen only once in the captured window
Brakes,150624,"A 150624, A150624",Lion Ranch Dressing,2x5L,L,9.43,10,2026-08-12,0.90,seen with 3 different pack sizes (2.271tr; 2.27l; 2x5l)
Brakes,150628,,Baby Plum Tomatoes BB,1x250g,kg,1.04,1,2026-03-06,0.90,seen only once in the captured window
Brakes,150802,"F 150802, F150802",Wildfarmed Sliced Sour Wht Bloomer,8x800,kg,39.4,3,2026-02-09,0.90,seen with 2 different pack sizes (8x800; 8x800g)
Brakes,151084,"C 151084, C151084","Flora Unsalted 79% Fat Butter Alternative, 200g",24 x 200g,kg,26.99,31,2026-09-02,0.90,seen with 2 different pack sizes (24x200g; 2kg)
Brakes,151400,"C 151400, C151400",Fresh Kitchen Hot Honey Sauce,1 x 1kg,kg,13.08,21,2026-08-10,0.90,seen with 2 different pack sizes (18; 1kg)
Brakes,151558,A151558,Paclan 20 Rolls x 10 100L Leak Resistant Compostable Bin Liners. 790x1050mm 100% EN13232 Certified,20 x 10 Sacks,L,67.96,2,2026-04-02,0.90,seen with 2 different pack sizes (20x10; 20x10sacks)
Brakes,152273,"A 152273, A152273",Paclan 80 Heavy Duty All-Purpose Refuse Sacks,1 x 80 Sacks,L,11.61,13,2026-08-10,0.90,seen with 2 different pack sizes (80; 80sacks)
Brakes,152572,,Keystone Manual Dish Uni,2x5L,L,23.23,1,2026-08-13,0.95,seen only once in the captured window
Brakes,178,,Brake Unsalted Butter,40x250g,kg,60.95,1,2026-01-17,0.90,seen only once in the captured window
Brakes,213122,,Harrogate Spa Still Water F/Cap,24x500ml,L,7.48,1,2026-03-20,0.90,seen only once in the captured window
Brakes,21357,"A 21357, A21357",Black Sack Compactor (P B111),100x1,L,29.1,49,2026-09-11,0.90,seen with 2 different pack sizes (100sacks; 100x1)
Brakes,21957,"A 21957, A21957",Wrapmaster 4500 PVC Cling Film Refill Rolls - 45cm x 300m x 3,1 x 3 rolls,,43.74,15,2026-09-02,0.90,seen with 2 different pack sizes (3rolls; 3x45cmx300m)
Brakes,23176,,Stork SB,2kg,kg,3.88,1,2026-01-17,0.90,seen only once in the captured window
Brakes,23178,"C 23178, C23178",Stork,2kg,kg,6.56,182,2026-09-11,0.70,seen with 4 different pack sizes (102kg; 15dzn; 25kg; 2kg)
Brakes,24311,,Tetley Mint Fusion Env Tea,6x25,,8.99,1,2025-12-10,0.90,seen only once in the captured window
Brakes,25321,,Kenco Smooth Instant Coffee Tin,1x750g,kg,22.74,1,2025-10-08,0.90,seen only once in the captured window
Brakes,27126,"A 27126, A27126",R White's Premium Lemonade,24 x 330ml,L,10.63,18,2026-09-01,0.90,seen with 2 different pack sizes (24; 24x330ml)
Brakes,27546,,Yorkshire Tea Bags,2x1040,,63.06,1,2025-12-10,0.90,seen only once in the captured window
Brakes,27640,A27640,Colman's Dijon Mustard,1 x 2.25ltr,L,15.81,3,2026-04-27,0.90,seen with 2 different pack sizes (2.251tr; 2.25l)
Brakes,28060,,Vinyl Gloves Clear Lge PF GD09L,1x100,L,10.84,1,2026-01-16,0.90,seen only once in the captured window
Brakes,28390,,Vinyl Gloves Clear Med PF GD09M,1x100,,5.69,1,2026-01-17,0.90,seen only once in the captured window
Brakes,28625,"A 28625, A28625",Harrogate Still,24 x 500ml,L,7.9,11,2026-09-02,0.90,seen with 2 different pack sizes (100g; 24x500ml)
Brakes,28990,A 28990,Paclan Black Compactor Sacks. 457x737x838mm,1 x 200 Sacks,,11.29,7,2026-04-20,0.90,seen with 2 different pack sizes (200; 200sacks)
Brakes,301,"A 301, A301",Brakes Caster Sugar,1x25kg,kg,27.42,158,2026-09-11,0.80,seen with 3 different pack sizes (1kg; 24x330ml; 25kg)
Brakes,30320,"F 30320, F30320",La Boulangerie Ready to Bake Pain aux Raisins,36 x 96g,kg,22.64,17,2026-09-07,0.80,seen with 2 different pack sizes (36; 36x96g)
Brakes,31205,"F 31205, F31205",La Boulangerie Ready to Bake Almond Croissants,48 x 95g,kg,51.25,22,2026-09-07,0.80,seen with 3 different pack sizes (48; 48x95g; 95g)
Brakes,32783,"F 32783, F32783",Sysco Chicken Strips in Crispy Coat,1x2kg,kg,17.52,69,2026-09-11,0.80,seen with 3 different pack sizes (2kg; 2kgapprox80; 3kg)
Brakes,33325,,Blueberries,1x1kg,kg,5.99,1,2025-12-12,0.90,seen only once in the captured window
Brakes,34030,A 34030,Brakes White Sugar Sticks,1x1000,,8.67,3,2026-03-16,0.80,seen with 2 different pack sizes (1000; 2.5gx1000)
Brakes,34244,,Sysco CI Mini Danish Assortment,5x24,,63.11,1,2026-09-11,0.95,seen only once in the captured window
Brakes,35023,,Sysco Classic Baking Powder,1x800g,kg,5.52,1,2025-12-11,0.93,seen only once in the captured window
Brakes,4111,"F 4111, F4111",Brake Fruits Of The Forest Mix,1kg,kg,10.07,81,2026-09-11,0.80,seen with 2 different pack sizes (1kg; 2kg)
Brakes,450610,"C 450610, C450610",Strawberries BB,1x400g,kg,3.66,75,2026-09-11,0.80,seen with 2 different pack sizes (1kg; 400g)
Brakes,450671,"C 450671, C450671",Beef Tomatoes,1 x 5,each,3.84,25,2026-09-07,0.80,seen with 2 different pack sizes (5; 5pack)
Brakes,450810,,rries BB,1x300g,kg,4.42,1,2026-01-14,0.90,seen only once in the captured window
Brakes,5001480,A 5001480,Noble 15 Dozen British Fresh Medium Eggs,1 x 180,,31.99,8,2026-01-17,0.90,seen with 2 different pack sizes (15dozen; 180)
Brakes,5001527,"C 5001527, C5001527",Raspberries,1 x 225g,kg,4.75,24,2026-09-09,0.90,seen with 2 different pack sizes (225g; 300g)
Brakes,5009592,A5009592,Funkin Pure Pour Lime,1kg 1 x 1kg,kg,7.49,2,2026-06-11,0.90,seen with 2 different pack sizes (1kg; 1kg1x1kg)
Brakes,5024962,,Funkin Sugar Syrup,1x700ml,L,,1,2026-03-06,0.95,seen only once in the captured window
Brakes,5025581,,Sysco Essentials Bleach,1x2.27ltr,L,9.09,1,2026-08-12,0.95,seen only once in the captured window
Brakes,555010,A 555010,Diversey D10 Suma Bac Cleaner Sanitiser,2 x 5ltr,L,48.15,2,2026-01-17,0.90,seen with 2 different pack sizes (2x5l; 2x5lt)
Brakes,555634,"A 555634, A555634",Removable ShelfLife Label 4x2in CE,1x500,,7.23,28,2026-09-10,0.90,seen with 3 different pack sizes (1roll500; 4x2ince1x500; 500)
Brakes,5874,"A 5874, A5874",Sysco Classic Flaked Almonds,1x1kg,kg,9.99,48,2026-09-10,0.89,seen with 2 different pack sizes (16; 1kg)
Brakes,58919,"F 58919, F58919",Sysco Classic Garlic Oval Flatbread,1x18,kg,17.67,41,2026-09-11,0.90,seen with 3 different pack sizes (18; 225g; 3x6x225g)
Brakes,591018,A591018,Princess Marshmallows Pink & White Catering Pack,4 x 500g,kg,15.11,3,2026-03-30,0.90,seen with 2 different pack sizes (192104x500g; 4x500g)
Brakes,591130,"A 591130, A591130",Shield Blue Rubber Gloves Medium,1 x 12,,6.79,28,2026-09-09,0.90,seen with 2 different pack sizes (1193291x12; 12)
Brakes,591182,A591182,Broom Soft Yellow 30cm OC 125120,1x1ea,each,4.47,6,2026-08-12,0.80,seen with 2 different pack sizes (1each; each)
Brakes,591184,"A 591184, A591184",Sponge Scourer,1 x 10,each,1.69,90,2026-09-09,0.80,seen with 6 different pack sizes (10; 10each; 125122; 1251221x10each; 1each; 6)
Brakes,591188,A591188,135cm RHP Handle Yellow,1 x 1,each,3.49,2,2026-06-11,0.90,seen with 2 different pack sizes (1each; each)
Brakes,591194,,Green Sponge Scour Hgrip OC125148,1x10ea,each,2.23,1,2026-02-09,0.95,seen only once in the captured window
Brakes,591248,"C 591248, C591248",Blueberries,1 x 300g,kg,5.03,26,2026-09-07,0.80,seen with 2 different pack sizes (300g; 400g)
Brakes,62730,"F 62730, F62730",BH Cheese Twist (151126),1x50,kg,50.4,12,2026-09-11,0.80,seen with 2 different pack sizes (50; 50x90g)
Brakes,67485,,Delifrance Vegan Croissant (19401),1x56,,21.97,1,2025-12-12,0.90,seen only once in the captured window
Brakes,70008,"C 70008, C70008",Sysco Classic Gammon Ham Sliced.,454g,kg,10.64,37,2026-09-11,0.80,seen with 3 different pack sizes (454; 454g; 454gav.12slices)
Brakes,70327,"A 70327, A70327",Wholesome Farm FR Med Shel Eggs,1x15 Dzn,kg,38.48,86,2026-09-11,0.90,seen with 3 different pack sizes (15dzn; 180; 2kg)
Brakes,70527,,Wholesome Farm FR Med Shel Eggs,1x15 Dzn,,37,1,2026-01-16,0.90,seen only once in the captured window
Brakes,70893,"A 70893, A70893",Staveleys Med Eggs Shell On 15Doz,1x180,kg,39.25,79,2026-09-11,0.70,seen with 5 different pack sizes (15doz1x180; 15dozen; 15dozen1x180; 180; 500g)
Brakes,71123,"C 71123, C71123",Arla Pro Instant Whipped UHT Aerosol Cream,1 x 500g,kg,4.32,51,2026-09-08,0.90,seen with 2 different pack sizes (3; 500g)
Brakes,71917,"C 71917, C71917",Sysco Classic Sliced Emmental,1x500g,kg,12.06,31,2026-09-11,0.80,seen with 2 different pack sizes (500g; 500g25slices)
Brakes,74088,,Unsalted Butter (70055),20x250g,kg,37.09,1,2026-04-20,0.90,seen only once in the captured window
Brakes,743,"A 743, A743",Diet Coke,24x330ml,L,12.99,29,2026-09-11,0.90,seen with 3 different pack sizes (24x330ml; 24x500ml; 25kg)
Brakes,84497,"A 84497, A84497",Brakes Pizza Sauce Pouch,1x3Kg,kg,7.62,47,2026-09-11,0.90,seen with 3 different pack sizes (14; 1kg; 3kg)
Brakes,84908,,Rob Apple/Black NAS Doub Conc,2x1.75ltr,L,6.5,1,2026-03-02,0.95,seen only once in the captured window
Brakes,86647,"A 86647, A86647",Baking Parch Refill45cmx50m(cs)21C32,1x3,L,35.42,75,2026-09-11,0.80,seen with 6 different pack sizes (21c321x3; 3; 3rolls; 45cmx50mcs21c32; 45cmx50mx3; 8x1l)
Brakes,86691,"A 86691, A86691",Professional Honeycomb Tea Towel,1 x 10,,9.72,6,2026-04-13,0.80,seen with 2 different pack sizes (10; 76cmx50cm1x10)
Brakes,86972,"A 86972, A86972",House Recipe Classic Sweet Chilli Dipping Sauce,1 x 1ltr,L,2.9,8,2026-09-08,0.90,seen with 2 different pack sizes (1l; 1l1x1l)
Brakes,87722,"A 87722, A87722",Paclan 100 x 150L Extra Heavy Duty Black Compactor Sacks. 483x965x1168mm. Rated 20KG CHSA. Made using 100% Recycled Material (excluding processing aids).,1 x 100 Sacks,L,23.3,9,2026-07-21,0.90,seen with 2 different pack sizes (100; 100sacks)
Brakes,88289,A 88289,Brakes White 2ply Napkin,2 x 300,,9.02,2,2026-04-27,0.90,seen with 2 different pack sizes (2x300; 33cm2x300)
Brakes,88315,,Brks 3Ply 40cm White Napkin,2x250Cs,,22.58,1,2025-10-06,0.90,seen only once in the captured window
Brakes,88445,"A 88445, A88445","Whisper Ultra Toilet Roll, 3 Ply, 160 Sheets",10 x 4,,30.72,14,2026-08-10,0.90,seen with 2 different pack sizes (10x4; 3ply10x4)
Brakes,88533,"A 88533, A88533",Coca-Cola Zero Sugar,24 x 330ml,L,13.01,21,2026-09-01,0.90,seen with 2 different pack sizes (24; 24x330ml)
Brakes,88982,,Kettle Mat Cheddar & Red Onion,1x18x40g,,,1,2025-10-06,0.90,seen only once in the captured window
Brakes,89703,"A 89703, A89703",Sysco Classic Real Mayonnaise,1 x 2.2ltr,L,6.15,14,2026-09-02,0.90,seen with 2 different pack sizes (2.21l; 2.2l)
Brakes,89843,"A 89843, A89843",Stainless Steel Scourer,1 x 10,kg,4.25,54,2026-09-09,0.90,seen with 3 different pack sizes (10; 40g824401x10; 824401x10)
Brakes,A 101920,,Sysco Classic Heavy Duty Blue Cloth,1x25,,6.78,1,2025-11-15,0.90,seen only once in the captured window
Brakes,A 107642,,Sysco Classic 2 Ply Blue Centrefeed Kitchen Wipes,1 x 6,,16.86,1,2026-08-12,0.90,seen only once in the captured window
Brakes,A 109441,,Hudson's Real Mayonnaise,1 x 1ltr,L,2.79,1,2026-06-09,0.90,seen only once in the captured window
Brakes,A 125128,,Scrubbing Brush 30cm Blue,1 x 1,,3.14,1,2026-01-13,0.80,seen only once in the captured window
Brakes,A 126924,,Sysco Classic Vegan Mayonnaise,1 x 1ltr,L,2.86,1,2026-05-11,0.93,seen only once in the captured window
Brakes,A 133754,,Super Professional Cabinet Glasswash,2 x 5ltr,L,16.09,1,2026-08-12,0.90,seen only once in the captured window
Brakes,A 135094,,DaVinci Sugar Free Hazelnut Syrup,1 x 1ltr,,,1,2026-04-06,0.90,seen only once in the captured window
Brakes,A 148636,,MONIN Premium Caramel Sugar Free Syrup,1ltr,L,10,1,2026-08-10,0.90,seen only once in the captured window
Brakes,A 150480,,Coca-Cola Zero Sugar Lemon 330ml Can,24x330ml,L,,1,2025-11-15,0.90,seen only once in the captured window
Brakes,A 150954,,Dettol Power & Pure Disinfectant Degreaser Kitchen Spray - 1L,6 x 1 ltr,L,14.9,1,2026-05-15,0.90,seen only once in the captured window
Brakes,A 151561,,Sysco Earth Plus Wooden Coffee Stirrer 190mm,10 x 100,,5.73,1,2026-06-09,0.90,seen only once in the captured window
Brakes,A 151562,,Sysco Earth Plus Wooden Fork 160mm*,10 x 100,,15.18,1,2026-06-09,0.90,seen only once in the captured window
Brakes,A 152553,,Keystone Laundry Detergent,2 x 5ltr,L,34.5,1,2026-08-12,0.90,seen only once in the captured window
Brakes,A 152603,,Sephra Belgian White Couverture Chocolate,1 x 2.5kg,kg,30.79,1,2026-06-11,0.90,seen only once in the captured window
Brakes,A 26448,,The Juice Cranberry Juice Drink,12 x 1ltr,,16.09,1,2026-02-13,0.90,seen only once in the captured window
Brakes,A 2911,,Hartley's Assorted Jam Portions,100 x 20g,kg,13.22,1,2026-01-15,0.90,seen only once in the captured window
Brakes,A 5003653,,Sysco Classic Extra Virgin Olive Oil,1 x 1ltr,L,6.57,1,2026-09-01,0.90,seen only once in the captured window
Brakes,A 5008945,,Sysco Classic Salsa Topping,1 x 920g,kg,3.98,1,2025-11-10,0.90,seen only once in the captured window
Brakes,A 5025593,,Sysco Essentials Glass & Stainless Steel Cleaner 750ml,6 x 750ml,L,10.14,1,2026-07-21,0.90,seen only once in the captured window
Brakes,A 5025702,,Sysco Essentials Toilet Cleaner,6 x 1ltr,L,6.5,1,2026-08-12,0.90,seen only once in the captured window
Brakes,A 5028950,,Poppies Napkin 2ply 32cm White,16x125,,30.16,1,2026-07-21,0.90,seen only once in the captured window
Brakes,A 591186,,137cm RHP Handle Blue,1 x 1,,4.19,1,2026-01-13,0.80,seen only once in the captured window
Brakes,A 591187,,137cm RHP Handle Red,1 x 1,,4.19,1,2026-01-13,0.80,seen only once in the captured window
Brakes,A 591189,,Scrubbing Brush 30cm Red,1 x 1,,3.14,1,2026-01-13,0.80,seen only once in the captured window
Brakes,A 591252,,Dettol Multi Purpose Citrus Cleaner - 4L,3 x 4l,L,21.29,1,2026-09-08,0.90,seen only once in the captured window
Brakes,A 82236,,Tetley Pure Green String & Tag envelope,6 x 25,,8.99,1,2026-07-21,0.90,seen only once in the captured window
Brakes,A 85120,,Sysco Classic Salt,1 x 3kg,kg,4.82,1,2026-08-12,0.90,seen only once in the captured window
Brakes,A100256,,Brakes Walnut Halves,1 x 1kg,kg,18.82,1,2025-11-14,0.90,seen only once in the captured window
Brakes,A106934,,Rubber Apron,1 x 1,,,1,2026-04-07,0.90,seen only once in the captured window
Brakes,A125283,,eGreen White Paper Straw 200mm,1 x 250,,3.35,1,2026-06-09,0.90,seen only once in the captured window
Brakes,A129918,,Tyrrells Lightly Sea Salted Crisps 40g,24 x 40g,kg,,1,2026-06-09,0.90,seen only once in the captured window
Brakes,A133921,,Skittles Chewy Sweets Bag Fruit Flavoured,15 x 136g,kg,16.09,1,2026-07-21,0.90,seen only once in the captured window
Brakes,A135812,,Dettol Original Antibacterial Surface Spray - 1L,6 x 1ltr,L,14.83,1,2026-03-30,0.90,seen only once in the captured window
Brakes,A151288,,Oatly Barista Edition Oat Drink,6 x 1.5ltr,L,16.37,1,2026-07-15,0.90,seen only once in the captured window
Brakes,A152602,,Sephra Belgian Dark Couverture Chocolate,1 x 2.5kg,kg,31.77,1,2026-03-30,0.90,seen only once in the captured window
Brakes,A2351,,Fermipan Yeast,1 x 500g,kg,4.68,1,2026-07-21,0.90,seen only once in the captured window
Brakes,A5020338,,Cadbury Mini Eggs Chocolate Bag,24 x 74g,,,1,2026-04-08,0.90,seen only once in the captured window
Brakes,A5025700,,Sysco Essentials Rinse Aid,2 x 5ltr,L,9.79,1,2026-07-13,0.90,seen only once in the captured window
Brakes,A508,,Cadbury Drinking Hot Chocolate,1 x 5kg,kg,38.35,1,2026-03-30,0.90,seen only once in the captured window
Brakes,C 103552,,Gourmet Salad Mix,1 x 250g,kg,2.21,1,2026-06-11,0.90,seen only once in the captured window
Brakes,C 119367,,Premium Baby Leaf Salad,4 x 250g,kg,,1,2026-04-13,0.90,seen only once in the captured window
Brakes,C 18421,,Green Valley Dairy Full Fat Soft Cheese,1 x 2kg,kg,,1,2025-11-10,0.90,seen only once in the captured window
Brakes,C 450124,,Limes,1 x 4kg,kg,11.79,1,2026-07-21,0.90,seen only once in the captured window
Brakes,C10312,,Large Oranges,1 x 5,,2.6,1,2025-11-14,0.90,seen only once in the captured window
Brakes,C10533,,Lemons,1 x 10kg (aprox 84),kg,16.01,1,2026-07-15,0.90,seen only once in the captured window
Brakes,C136440,,British Basil,1 x 100g,kg,2.02,1,2026-07-15,0.90,seen only once in the captured window
Brakes,F 5024519,,Calippo Strawberry,1 x 24,,21.49,1,2026-07-21,0.90,seen only once in the captured window
Brakes,F135124,,La Boulangerie All Butter Croissants,48 x 70g,kg,27.36,1,2026-07-21,0.90,seen only once in the captured window
Brakes,F136160,,Ice Club Crushed Ice,5 x 1.8kg,kg,3.63,1,2025-12-10,0.90,seen only once in the captured window
Brakes,F67652,,Schulstad Cinnamon Swirl,48 x 86g,kg,28.9,1,2026-08-10,0.90,seen only once in the captured window
Culpitt,02938,,EDIBLE-RENSHAW-PROF SP-TEDDY BROWN,250g,kg,24.19,1,2026-06-08,0.90,seen only once in the captured window
Culpitt,02944,,EDIBLE-RENSHAW-PROF SP-LINCOLN GRN-250g,250g,kg,21.21,1,2026-09-04,0.95,seen only once in the captured window
Culpitt,02948,,EDIBLE-RENSHAW-PROF SP-EMERALD GRN,250g,kg,23.57,1,2026-09-08,0.95,seen only once in the captured window
Culpitt,02958,,EDIBLE-RENSHAW-PROF SP-LINCOLN GREEN,1kg,kg,44.84,1,2026-09-01,0.90,seen only once in the captured window
Culpitt,07311313529,,SHIPPING,,,1,1,2026-06-02,0.95,seen only once in the captured window
Culpitt,21M-MBBL10,,SUGAR PASTE-M&B-BLUE,4 x 2.5kg,kg,25.04,15,2026-09-14,0.90,seen with 2 different pack sizes (2.5kg; 4x2.5kg)
Culpitt,21M-MBBR10,,SUGAR PASTE-M&B-BROWN,4 x 2.5kg,kg,28.17,15,2026-07-07,0.90,seen with 2 different pack sizes (2.5kg; 4x2.5kg)
Culpitt,21M-MBGN10,,SUGAR PASTE-M&B-GREEN,4 x 2.5kg,kg,44.58,28,2026-09-01,0.90,seen with 2 different pack sizes (2.5kg; 4x2.5kg)
Culpitt,21M-MBRE10,,SUGAR PASTE-M&B-RED,4 x 2.5kg,kg,35.67,28,2026-09-14,0.90,seen with 2 different pack sizes (2.5kg; 4x2.5kg)
Culpitt,21M-MBYE10,,SUGAR PASTE-M&B-YELLOW,4 x 2.5kg,kg,25.04,34,2026-09-14,0.90,seen with 2 different pack sizes (2.5kg; 4x2.5kg)
Culpitt,27C-109,,COLOUR-COLOUR MILL-CHOCOLATE,20ml,L,4.95,1,2026-09-01,0.90,seen only once in the captured window
Culpitt,27C-134,,COLOUR-COLOUR MILL-RED,20ml,L,3.96,1,2026-06-19,0.96,seen only once in the captured window
